day,nominal,S_2_RCP_8.5,S5_4.0
154,19.429889,19.429889,19.429889
155,25.50333569,25.50333569,25.50333569
156,26.03435657,26.03435657,26.03435657
157,57.14558364,57.14558364,57.14558364
158,54.50170846,54.50170846,54.50170846
159,62.1562913,62.1562913,62.1562913
160,43.0678473,43.0678473,43.0678473
161,57.46414602,57.46414602,57.46414602
162,55.74033917,55.74033917,55.74033917
163,71.22608914,71.22608914,71.22608914
164,49.51843059,49.51843059,49.51843059
165,51.93516955,51.93516955,51.93516955
166,86.95898245,86.95898245,86.95898245
167,59.79876269,59.79876269,59.79876269
168,81.83184582,81.83184582,81.83184582
169,64.94155019,64.94155019,64.94155019
170,52.59514568,52.59514568,52.59514568
171,91.80987757,91.80987757,91.80987757
172,67.86904592,67.86904592,67.86904592
173,80.01963106,80.01963106,80.01963106
174,47.21154978,47.21154978,47.21154978
175,45.48433765,45.48433765,45.48433765
176,73.0058318,73.0058318,73.0058318
177,60.26416667,60.26416667,60.26416667
178,94.82875,94.82875,94.82875
179,110.4104167,110.4104167,110.4104167
180,77.71291667,77.71291667,77.71291667
181,36.08041667,36.08041667,36.08041667
182,22.02708333,22.02708333,22.02708333
183,52.42541667,52.42541667,52.42541667
184,98.58916667,98.58916667,98.58916667
185,61.31583333,61.31583333,61.31583333
186,36.69375,36.69375,36.69375
187,43.18583333,43.18583333,43.18583333
188,45.03375,45.03375,45.03375
189,51.74833333,51.74833333,51.74833333
190,40.26958333,40.26958333,40.26958333
191,82.5875,82.5875,82.5875
192,70.3125,70.3125,70.3125
193,124.4354167,124.4354167,124.4354167
194,145.385,145.385,145.385
195,143.6375,143.6375,143.6375
196,69.33,69.33,69.33
197,81.62333333,81.62333333,81.62333333
198,105.9466667,105.9466667,105.9466667
199,96.2225,96.2225,96.2225
200,125.8975,125.8975,125.8975
201,21.55666667,21.55666667,21.55666667
202,36.7725,36.7725,36.7725
203,29.20625,29.20625,29.20625
204,51.00458333,51.00458333,51.00458333
205,49.38625,49.38625,49.38625
206,44.22291667,44.22291667,44.22291667
207,95.72875,95.72875,95.72875
208,115.0958333,115.0958333,115.0958333
209,36.27875,36.27875,36.27875
210,26.55125,26.55125,26.55125
211,25.55416667,25.55416667,25.55416667
212,33.24208333,33.24208333,33.24208333
213,29.83791667,29.83791667,29.83791667
214,41.96541667,41.96541667,41.96541667
215,109.76,109.76,109.76
216,64.38791667,64.38791667,64.38791667
217,48.43458333,48.43458333,48.43458333
218,55.42916667,55.42916667,55.42916667
219,32.30416667,32.30416667,32.30416667
220,24.33416667,24.33416667,24.33416667
221,81.13375,81.13375,81.13375
222,54.62333333,54.62333333,54.62333333
223,30.45304348,30.45304348,30.45304348
224,63.02083333,63.02083333,63.02083333
225,37.64,37.64,37.64
226,21.03833333,21.03833333,21.03833333
227,26.78147086,26.78147086,26.78147086
228,20.38,20.38,20.38
229,40.37416667,40.37416667,40.37416667
230,26.15541667,26.15541667,26.15541667
231,63.57208333,63.57208333,63.57208333
232,27.12041667,27.12041667,27.12041667
233,28.37833333,28.37833333,28.37833333
234,48.16041667,48.16041667,48.16041667
235,34.43583333,34.43583333,34.43583333
236,29.6625,29.6625,29.6625
237,39.80166667,39.80166667,39.80166667
238,17.43083333,17.43083333,17.43083333
239,34.3075,34.3075,34.3075
240,29.245,29.245,29.245
241,30.11458333,30.11458333,30.11458333
242,57.72458333,57.72458333,57.72458333
243,55.57291667,55.57291667,55.57291667
244,16.93416667,16.93416667,16.93416667
245,16.47791667,16.47791667,16.47791667
246,28.32166667,28.32166667,28.32166667
247,22.15125,22.15125,22.15125
248,17.9475,17.9475,17.9475
249,12.5675,12.5675,12.5675
250,27.47666667,27.47666667,27.47666667
251,14.44695652,14.44695652,14.44695652
252,18.71958333,18.71958333,18.71958333
253,27.55708333,27.55708333,27.55708333
254,20.70375,20.70375,20.70375
255,10.20041667,10.20041667,10.20041667
256,9.931666667,9.931666667,9.931666667
257,11.57996887,11.57996887,11.57996887
258,30.05458333,30.05458333,30.05458333
259,25.97375,25.97375,25.97375
260,23.77208333,23.77208333,23.77208333
261,8.652083333,8.652083333,8.652083333
262,21.43833333,21.43833333,21.43833333
263,16.29708333,16.29708333,16.29708333
264,18.26833333,18.26833333,18.26833333
265,17.8925,17.8925,17.8925
266,16.42166667,16.42166667,16.42166667
267,10.49,10.49,10.49
268,14.48375,14.48375,14.48375
269,12.65225601,12.65225601,12.65225601
270,8.941269443,8.941269443,8.941269443
271,7.393759684,7.393759684,7.393759684
272,3.578542018,3.578542018,3.578542018
273,4.516642324,4.516642324,4.516642324
274,3.808933101,3.808933101,3.808933101
275,2.603868053,2.603868053,2.603868053
276,3.609278919,3.609278919,3.609278919
277,4.084151935,4.084151935,4.084151935
278,3.816673685,3.816673685,3.816673685
279,3.872475323,3.872475323,3.872475323
280,3.381963475,3.381963475,3.381963475
281,2.857501545,2.857501545,2.857501545
282,2.492235964,2.492235964,2.492235964
283,2.592927019,2.592927019,2.592927019
284,1.231957553,1.231957553,1.231957553
285,2.303452858,2.303452858,2.303452858
286,1.492401269,1.492401269,1.492401269
287,1.166322041,1.166322041,1.166322041
288,1.501085188,1.501085188,1.501085188
289,0.874974191,0.874974191,0.874974191
290,0.868905735,0.868905735,0.868905735
291,0.924989528,0.924989528,0.924989528
292,0.756399212,0.756399212,0.756399212
293,0.368248391,0.368248391,0.368248391
294,0.350573063,0.350573063,0.350573063
295,0.278672636,0.278672636,0.278672636
296,0.269624113,0.269624113,0.269624113
297,0.148347978,0.148347978,0.148347978
298,0.125969259,0.125969259,0.125969259
299,0.025227107,0.025227107,0.025227107
300,0.009323651,0.009323651,0.009323651
301,0.042811294,0.042811294,0.042811294
302,0.002605125,0.002605125,0.002605125
303,0.026684042,0.026684042,0.026684042
304,0.021498225,0.021498225,0.021498225
305,0.007499916,0.007499916,0.007499916
306,0,0,0
307,0.009341982,0.009341982,0.009341982
308,0,0,0
309,0,0,0
310,0,0,0
311,0,0,0
312,0,0,0
313,0,0,0
314,0,0,0
315,0.001041113,0.001041113,0.001041113
316,0,0,0
317,0,0,0
318,0,0,0
319,0,0,0
320,0,0,0
321,0,0,0
322,0,0,0
323,0,0,0
324,0,0,0
325,0.000359759,0.000359759,0.000359759
326,0.004695408,0.004695408,0.004695408
327,0,0,0
328,0.000205262,0.000205262,0.000205262
329,0,0,0
330,0,0,0
331,0,0,0
332,0,0,0
333,0,0,0
334,0,0,0
335,0,0,0
336,0,0,0
337,0,0,0
338,0,0,0
339,0,0,0
340,0,0,0
341,0,0,0
342,0,0,0
343,0,0,0
344,0,0,0
345,0,0,0
346,0,0,0
347,0,0,0
348,0,0,0
349,0,0,0
350,0.001289741,0.001289741,0.001289741
351,0.000400788,0.000400788,0.000400788
352,0.000478616,0.000478616,0.000478616
353,0,0,0
354,0.001653867,0.001653867,0.001653867
355,0,0,0
356,0,0,0
357,0,0,0
358,0,0,0
359,0,0,0
360,0,0,0
361,0,0,0
362,0,0,0
363,0,0,0
364,0,0,0
365,0,0,0
366,0,0,0
367,0,0,0
368,0,0,0
369,0.001130253,0.001130253,0.001130253
370,0,0,0
371,0.007680456,0.007680456,0.007680456
372,0.006062471,0.006062471,0.006062471
373,0.000910255,0.000910255,0.000910255
374,0,0,0
375,0.00049616,0.00049616,0.00049616
376,0.011034498,0.011034498,0.011034498
377,0.000445367,0.000445367,0.000445367
378,0,0,0
379,0,0,0
380,0,0,0
381,0,0,0
382,0,0,0
383,0,0,0
384,0,0,0
385,0,0,0
386,0,0,0
387,0,0,0
388,0.000173025,0.000173025,0.000173025
389,0,0,0
390,0.000272212,0.000272212,0.000272212
391,0,0,0
392,0.000380917,0.000380917,0.000380917
393,0.00028228,0.00028228,0.00028228
394,0.000771031,0.000771031,0.000771031
395,0.000219957,0.000219957,0.000219957
396,0,0,0
397,0,0,0
398,0,0,0
399,0.000571375,0.000571375,0.000571375
400,0,0,0
401,0,0,0
402,0.000499558,0.000499558,0.000499558
403,0,0,0
404,0,0,0
405,0.000940933,0.000940933,0.000940933
406,0.001336086,0.001336086,0.001336086
407,0.000166906,0.000166906,0.000166906
408,0.016180975,0.016180975,0.016180975
409,0.008799215,0.008799215,0.008799215
410,0.016067506,0.016067506,0.016067506
411,0.043487261,0.043487261,0.043487261
412,0.014507212,0.014507212,0.014507212
413,0.032665431,0.032665431,0.032665431
414,0.076328081,0.076328081,0.076328081
415,0.0443667,0.0443667,0.0443667
416,0.096583456,0.096583456,0.096583456
417,0.096826776,0.096826776,0.096826776
418,0.083724629,0.083724629,0.083724629
419,0.140645849,0.140645849,0.140645849
420,0.168720186,0.168720186,0.168720186
421,0.155190473,0.155190473,0.155190473
422,0.240360347,0.240360347,0.240360347
423,0.273837321,0.273837321,0.273837321
424,0.337588369,0.337588369,0.337588369
425,0.238058455,0.238058455,0.238058455
426,0.287184791,0.287184791,0.287184791
427,0.365473165,0.365473165,0.365473165
428,0.376614323,0.376614323,0.376614323
429,0.462017899,0.462017899,0.462017899
430,0.446052837,0.446052837,0.446052837
431,0.421799131,0.421799131,0.421799131
432,0.542846378,0.542846378,0.542846378
433,0.518001875,0.518001875,0.518001875
434,0.672632628,0.672632628,0.672632628
435,0.784326922,0.784326922,0.784326922
436,0.97152949,0.97152949,0.97152949
437,0.830172834,0.830172834,0.830172834
438,0.937205337,0.937205337,0.937205337
439,1.200097614,1.200097614,1.200097614
440,1.109505992,1.109505992,1.109505992
441,1.407238853,1.407238853,1.407238853
442,1.486063831,1.486063831,1.486063831
443,1.714614755,1.714614755,1.714614755
444,1.601687805,1.601687805,1.601687805
445,1.746261859,1.746261859,1.746261859
446,1.445683951,1.445683951,1.445683951
447,1.466316688,1.466316688,1.466316688
448,1.965004923,1.965004923,1.965004923
449,2.051712939,2.051712939,2.051712939
450,2.487246513,2.487246513,2.487246513
451,1.585416687,1.585416687,1.585416687
452,1.980018435,1.980018435,1.980018435
453,2.274797282,2.274797282,2.274797282
454,2.335131617,2.335131617,2.335131617
455,2.105487581,2.105487581,2.105487581
456,2.420093559,2.420093559,2.420093559
457,3.00673561,3.00673561,3.00673561
458,3.241006188,3.241006188,3.241006188
459,2.7509305,2.7509305,2.7509305
460,2.907683465,2.907683465,2.907683465
461,3.775848976,3.775848976,3.775848976
462,4.430348901,4.430348901,4.430348901
463,3.738718488,3.738718488,3.738718488
464,5.449416084,5.449416084,5.449416084
465,4.335860818,4.335860818,4.335860818
466,3.639720876,3.639720876,3.639720876
467,3.749122759,3.749122759,3.749122759
468,4.128099123,4.128099123,4.128099123
469,3.530777214,3.530777214,3.530777214
470,4.564146732,4.564146732,4.564146732
