day,temp
335,-1.595666667
336,-1.670708333
337,-1.804541667
338,-1.934666667
339,-1.956625
340,-2.051291667
341,-2.090833333
342,-2.18675
343,-2.326208333
344,-2.305875
345,-2.148375
346,-2.023166667
347,-1.981083333
348,-1.961416667
349,-1.717541667
350,-1.39975
351,-1.151708333
352,-0.933
353,-0.892541667
354,-0.869041667
355,-0.839333333
356,-1.063416667
357,-1.305125
358,-1.489708333
359,-1.512375
360,-1.661625
361,-1.985625
362,-2.181958333
363,-2.253916667
364,-2.337916667
365,-2.27525
